,name,link,affiliations,email,cited_by
129,Ahmad Sofyan,https://scholar.google.com/citations?hl=en&user=R7etYX0AAAAJ,UIN Syarif Hidayatullah,Verified email at uinjkt.ac.id,402
130,Zaharah- Orchid- 0000-0002-4969-4694.Scopus,https://scholar.google.com/citations?hl=en&user=f-6IuJAAAAAJ,Universitas Islam Negeri Syarif Hidayatulah Jakarta,Verified email at uinjkt.ac.id,398
131,Jajang Jahroni,https://scholar.google.com/citations?hl=en&user=S6KPt0IAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,395
132,Nanang Tahqiq,https://scholar.google.com/citations?hl=en&user=w9twWK0AAAAJ,uin syarif hidayatullah jakarta,Verified email at uinjkt.ac.id,394
133,Tita Khalis Maryati,https://scholar.google.com/citations?hl=en&user=8PxljYsAAAAJ,"Dosen Jurusan Pendidikan Matematika, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,386
134,Reskino,https://scholar.google.com/citations?hl=en&user=uaCEx9gAAAAJ,"Senior Lecturer, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,385
135,Ahmad Sudirman Abbas,https://scholar.google.com/citations?hl=en&user=Na2RyccAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,381
136,Muhammad Azwar,https://scholar.google.com/citations?hl=en&user=ZiaDJ20AAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,377
137,Didin Syafruddin,https://scholar.google.com/citations?hl=en&user=nsRUl3oAAAAJ,Syarif Hidayatullah State Islamic University of Jakarta,Verified email at uinjkt.ac.id,375
138,Lia Kurniawati,https://scholar.google.com/citations?hl=en&user=Gu1QMxgAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,372
139,"Hasani Ahmad Said, Dr. S.Th.I., MA",https://scholar.google.com/citations?hl=en&user=W_OyN8IAAAAJ,"Associate Professor, Faculty of Ushuluddin, Syarif Hidayatullah State Islamic University …",Verified email at uinjkt.ac.id,369
140,"Yusuf Durachman, Yusuf Durrachman, Yusuf Durrahman",https://scholar.google.com/citations?hl=en&user=vTU6xmgAAAAJ,Syarif Hidayatullah State Islamic University Jakarta,Verified email at uinjkt.ac.id,365
141,Jamhari,https://scholar.google.com/citations?hl=en&user=9u2yxr4AAAAJ,UIN Syarif Hidaytullah Jakarta,Verified email at uinjkt.ac.id,364
142,"Pheni Chalid (Drs., SF., MA., Ph.D)",https://scholar.google.com/citations?hl=en&user=ocS8ahEAAAAJ,Fakultas Ekonomi dan Bisnis UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,359
143,Rusli Rusli (Scopus ID 56556629100),https://scholar.google.com/citations?hl=en&user=AA-FCS4AAAAJ,"Professor, History of Islamic Law, UIN Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,358
144,Karlina Helmanita,https://scholar.google.com/citations?hl=en&user=q3MKn1oAAAAJ,Faculty of Adab and Humanities-Syarif Hidayatullah State Islamic University Jakarta,Verified email at uinjkt.ac.id,357
